ID,Language,Lexeme,POS,Contlex,Inflex Type
2,sms,taibsted,V,V_MAINSTED,3
4,sms,ääʹll,N,N_SAAQMM,1
5,sms,njââʹllvaaldõs,N,N_SAJOS,1
7,sms,priiski,N,N_,X
9,sms,läukkad,V,V_LAEULLAD,1
10,sms,laukkõõllâd,V,V_LAUKKOOLLYD,1
12,sms,hiâvtõõttâd,V,V_LAUKKOOLLYD,1
13,sms,kõõcktõõttâd,V,V_LAUKKOOLLYD,1
15,sms,õõpsčummuš,N,N_MAINSTUMMUSH,2
17,sms,kriʹlcc,N,N_KRIQLCC,1
19,sms,põõleed,V,V_SILTTEED,2
20,sms,põlstõõllâd,V,V_LAUKKOOLLYD,1
22,sms,tääkklummuš,N,N_MAINSTUMMUSH,2
24,sms,šäigg,N,N_PAIQKHKH,1
26,sms,kuõrri,N,N_PRSPRC-VWCC-I,X
28,sms,kaaǯǯeed,V,V_SILTTEED,2
30,sms,meerǩeeʹrjtõs,N,N_SAJOS,1
32,sms,åålǥasmettummuš,N,N_MAINSTUMMUSH,2
34,sms,vuäggâttmõš,N,N_SAJOS,1
35,sms,uuʹrčtummuš,N,N_MAINSTUMMUSH,2
36,sms,uurčtummuš,N,N_MAINSTUMMUSH,2
38,sms,piustõkrähss,N,N_,X
40,sms,käʹrjsted,V,IV_KAQRJSTED,3
41,sms,vuäkkad,V,V_REAEKKAD,1
43,sms,säʹppleekuõbbâr,N,N_TUODDYR,2
45,sms,risttčääʹcc,N,N_CHAAQCC,1
47,sms,äʹrbbteâtt,N,N_VUYRR,1
49,sms,pooršjõõvvâd,V,V_LAUKKOOLLYD,1
50,sms,pooršõõvvâd,V,V_LAUKKOOLLYD,1
52,sms,meäʹccpõrtt,N,N_ALGG,1
54,sms,koškkõõllmõš,N,N_SAJOS,1
56,sms,kaarbâl,N,N_KOONTYR,2
58,sms,viõŋŋâd,V,V_SIORRYD,1
59,sms,viõssâd,V,V_CHIOKKYD,1
60,sms,čieʹrjeed,V,V_TEEQMEED,2
61,sms,jamljõõvvâd,V,IV_LAUKKOOLLYD,1
62,sms,jaʹmlʼjed,V,V_VOQLLJED,3
64,sms,ouddčiõkk,N,N_LUOSS,1
66,sms,kruugstâʹtted,V,V_KAEQTTED,1
68,sms,kulttuurteäʹǧǧ,N,N_JEAQNNN,1
70,sms,veârteed,V,V_SOLLEED,2
71,sms,prooidâd,V,V_DOOIDYD,1
73,sms,čõõđtemtuâjj,N,N_TUYJJ,1
75,sms,suõjjled,V,V_KHIORGGNED,3
76,sms,suõjjeed,V,V_SILTTEED,2
78,sms,põrttjieʹlli,N,N_PRSPRC-VWCC-I,X
80,sms,västtad,V,V_SARNNAD,1
81,sms,väästõõttâd,V,V_LAUKKOOLLYD,1
83,sms,kontekstt,N,N_,X
85,sms,tuõrgg,N,N_CHUOSHKK,1
87,sms,luäʹđjj,N,N_CHUAQRVV,1
89,sms,reugglõõttâd,V,V_LAUKKOOLLYD,1
91,sms,vuârtõõllmõš,N,N_SAJOS,1
93,sms,skoolčtam,A,A_,X
95,sms,pärccšed,V,V_KAEIGGSHED,3
97,sms,koolčtâttmõš,N,N_SAJOS,1
99,sms,pääiklaž,A,A_MEERSAZH,1
100,sms,pääiklõs,A,A-ATTR_,X
101,sms,totšnai,A,A_ZHEEVAI,X
103,sms,njââʹđđed,V,V_JOAQTTED,1
104,sms,põõžžted,V,V_AALGXTED,3
106,sms,siõrrâmtaaurõš,N,N_SAJOS,1
107,sms,siõrrneǩ,N,N_KAADHNEKH,1
109,sms,vuäzzlažvuõttsuåppmõš,N,N_SAJOS,1
111,sms,seerdteei,N,N_PRSPRC-EEI,X
113,sms,illštummuš,N,N_MAINSTUMMUSH,2
115,sms,kueʹdded,V,TV_KUEQDDDED,1
116,sms,kueʹdded mõõʹnid,V,V_,5
118,sms,baŋkktiõtt,N,N_RUOCCC,1
119,sms,kooddlååkk,N,N_RAEAEKK,1
121,sms,kåʹddšõõttâd,V,V_LAUKKOOLLYD,1
123,sms,kađšted,V,V_KULSTED,3
125,sms,ââldavuõiʹnni,A,A_,X
127,sms,čuässmõš,N,N_SAJOS,1
129,sms,dokumeʹntt,N,N_TEQSTT,1
131,sms,põõrtâž,N,N_MUORYZH,3
133,sms,uiddeed,V,V_SILTTEED,2
135,sms,njaaǥǥted ǩeän-ne,V,V_,5
137,sms,ävvneei,A,A_PRSPRC-EEI,3
139,sms,kâʹl leäk karštar,Adv,ADV_,X
141,sms,kaiggneei,A,A_PRSPRC-EEI,3
142,sms,kääiǥeei,A,A_PRSPRC-EEI,3
144,sms,seuʹnnjõs,N,N_SAJOS,1
145,sms,seuʹŋŋõs,N,N_SAJOS,1
147,sms,miõlggtäʹhtt,N,N_TAQHTT,1
148,sms,râʹddtäʹhtt,N,N_TAQHTT,1
149,sms,lååʹddčuäʹrvv,N,N_CHUAQRVV,1
151,sms,sääʹmvõboršeǩ,N,N_KAADHNEKH,1
153,sms,armei,N,N_AQVV,1
155,sms,kuåsttâd,V,V_KUOSKKYD,1
157,sms,espaanlaž,N,N_MEERSAZH,1
159,sms,veiddned,V,V_SHORRNED,3
161,sms,säʹnnâttmõš,N,N_SAJOS,1
163,sms,tårmmad,V,V_SARNNAD,1
165,sms,inn,N,N_PAPP,1
167,sms,tuõppjed,V,TV_KUOCCJED,4
169,sms,älddõk,A,A_SAJOS,1
171,sms,vuäʹddčuʹǩǩ,N,N_CHUQKHKH,1
173,sms,vuõiǥõõtti,N,N_PRSPRC-VVCC-I,X
175,sms,čuâccmõš,N,N_SAJOS,1
176,sms,cuʹvǩǩummuš,N,N_MAINSTUMMUSH,2
177,sms,kõvštummuš,N,N_MAINSTUMMUSH,2
178,sms,moʹttjummuš,N,N_MAINSTUMMUSH,2
179,sms,čeäʹrǧǧummuš,N,N_MAINSTUMMUSH,2
180,sms,muårrmõš,N,N_SAJOS,1
182,sms,vijnnceäʹrǩǩ,N,N_JEAQRMM,1
184,sms,säʹlbbummuš,N,N_MAINSTUMMUSH,2
186,sms,suudõõttâd,V,V_LAUKKOOLLYD,1
188,sms,kââʹzzummuš,N,N_MAINSTUMMUSH,2
189,sms,ââʹzzummuš,N,N_MAINSTUMMUSH,2
191,sms,tohtor,N,N_,X
192,sms,dåhttar,N,N_AANAR,2
194,sms,vuõllâd,V,V_HUOLLYD,1
196,sms,puäʒʒkuäivõs,N,N_SAJOS,1
197,sms,viistjânnam,N,N_AANAR,2
198,sms,vuâŋŋjânnam,N,N_AANAR,2
200,sms,mieʹrrõõllmõš,N,N_SAJOS,1
201,sms,mettõõllmõš,N,N_SAJOS,1
203,sms,jiõččmeäʹrreemvuõiggâdvuõtt,N,N_MUORR,1
205,sms,tuämted,V,V_SHORRNED,3
207,sms,čårrummuš,N,N_MAINSTUMMUSH,2
209,sms,õõlâs,N,N_VOONYS,2
210,sms,õllâs,N,N_,X
212,sms,suâkkõõvvâd,V,IV_LAUKKOOLLYD,1
214,sms,tuärjjeei,A,A_PRSPRC-EEI,3
215,sms,nââneei,A,A_PRSPRC-EEI,3
216,sms,kõssnallšem,A,A_NALLSHEM,1
218,sms,kuäʹrcced,V,V_CEAQLKHKHED,1
219,sms,kuärccjed,V,V_JEAELLLJED,4
221,sms,čeäkkreei,A,A_PRSPRC-EEI,3
223,sms,čuâvted,V,TV_SHORRNED,3
224,sms,jååʹđted,V,V_KHEEQRJTED,3
226,sms,aaunâs,N,N_TAALKYS,2
228,sms,kueʹddemreidd,N,N_PEIGG,1
230,sms,pååđsuäjj,N,N_TUYJJ,1
232,sms,raukkâmpõʹmmai,N,N_VUYPPPAI,2
234,sms,jäänbõõzz,N,N_,X
236,sms,kueʹstelmtuâjjlååʹpp,N,N_SAAQMM,1
238,sms,raʹddjõõlaž,A,A_MEERSAZH,1
240,sms,aassâmautt,N,N_AUTT,1
242,sms,veärraunnsistaanvuõttkoontâr,N,N_KOONTYR,2
244,sms,metteemsäʹǧǧ,N,N_LOAQDD,1
245,sms,meäʹrreemsäʹǧǧ,N,N_LOAQDD,1
247,sms,reppai,A,A_SAELTTAI,X
249,sms,luäʹnesvuõtt,N,N_MUORR,1
251,sms,lâʹnnkoontâr,N,N_KOONTYR,2
253,sms,čeäppatristt,N,N_ALGG,1
255,sms,looǥǥõõttâd,V,V_LAUKKOOLLYD,1
257,sms,mõõnnâmäiʹǧǧ,N,N_PAIQKHKH,1
259,sms,kaaup ool,Adv,ADV_,X
261,sms,Veäʹsǩǩviõrr,N,PROP_TOP_MUORR,1
263,sms,bumeraŋŋ,N,N_PAPP,1
265,sms,sääunõõttâd,V,V_LAUKKOOLLYD,1
266,sms,laauǥõõttâd,V,V_LAUKKOOLLYD,1
268,sms,kolggâd,V,IV_TOBDDYD,1
270,sms,kuäʹccev,N,N_AANAR,2
272,sms,peʹsserjiõnder,N,N_,X
273,sms,sieʹljoolâž,N,N_MUORYZH,3
274,sms,jiõnder,N,N_,X
275,sms,tieʹppauttõk,N,N_SAJOS,1
277,sms,nueʹrr,N,N_KUEQLL,1
279,sms,čääʹccräptt,N,N_AELDD,1
281,sms,pâiʹlǩicstõs,N,N_SAJOS,1
283,sms,vääʹrruhss,N,N_SIJDD,1
284,sms,leiʹǧǧuhss,N,N_SIJDD,1
286,sms,kuâssai,N,N_,X
287,sms,kõʹllʼjeei,N,N_PRSPRC-EEI,X
289,sms,joukkpeiʹvvpõrtt,N,N_ALGG,1
291,sms,lâddmõš,N,N_SAJOS,1
293,sms,spesiaalhuõll,N,N_MUORR,1
295,sms,kuäivvad määddvuâlažvuäj,V,V_,5
297,sms,späʹssebvueʹss,N,N_PIEAQSS,1
299,sms,čaʹppespiiutâs,A,A_,X
301,sms,steehlkopp,N,N_PAPP,1
303,sms,âlddned,V,IV_SHORRNED,3
305,sms,kriteeʹr,N,N_SYSTEEQM,1
307,sms,šõõtkâš,N,N_TAALKYS,X
309,sms,juõnn,A,A-ATTR_,X
310,sms,juõnni,A,A_,X
312,sms,låʹddinfluenss,N,N_,X
314,sms,käärab,N,N_AANAR,2
315,sms,päärhåʹd,N,N_PAARHOAQD,1
317,sms,ooccâmäiʹǧǧ,N,N_PAIQKHKH,1
319,sms,Kuʹǩesjäuʹrr,N,PROP_TOP_JAUQRR,1
321,sms,muõtt,N,N_MUOTT,3
322,sms,õcc,N,N_PAPP,1
323,sms,ođđmuõtt,N,N_MUOTT,3
324,sms,suʹmeâdmuõtt,N,N_MUOTT,3
325,sms,nieʹttaaini,N,N_,X
326,sms,läʹbll,N,N_KAQLBB,1
327,sms,suʹmeâd,N,N_,X
328,sms,ruäʹtčkõk,N,N_SAJOS,1
329,sms,šâlkk,N,N_AELDD,1
331,sms,Kaalčuäʹlmm,N,PROP_TOP_JEAQRMM,1
333,sms,tuužžâd,V,V_LAADDYD,1
335,sms,vuõllmõš,N,N_SAJOS,1
337,sms,veärraaunâs,N,N_TAALKYS,2
339,sms,gåårad,N,N_AANAR,2
340,sms,lâʹnn,N,N_LOAQDD,1
342,sms,uuidmõš,N,N_SAJOS,1
344,sms,pigmeʹntt,N,N_TEQSTT,1
346,sms,leeiǥted,V,V_SHORRNED,3
348,sms,kuõreed,V,V_SILTTEED,2
350,sms,ǩeʹrjjteei,N,N_PRSPRC-EEI,X
352,sms,juutt,N,N_PLAAN,X
354,sms,lääiʹtkânai,Adv,ADV_,X
356,sms,suttmõš,N,N_SAJOS,1
357,sms,puâššmõš,N,N_SAJOS,1
358,sms,čâđđõõvvmõš,N,N_SAJOS,1
359,sms,suttõõttmõš,N,N_SAJOS,1
361,sms,peälštummuš,N,N_MAINSTUMMUSH,2
362,sms,praavmõš,N,N_SAJOS,1
364,sms,vuäivvâʹtted,V,V_KAEQTTED,1
366,sms,kuâbbmõš,N,N_SAJOS,1
368,sms,teäʹtted,V,V_MEAQTTTED,1
370,sms,huäpp,N,N_,X
371,sms,ǩiirâs,N,N_VOONYS,2
373,sms,säʹrǧǧemčuäʹrvv,N,N_CHUAQRVV,1
375,sms,kaaʹǩǩtummuš,N,N_MAINSTUMMUSH,2
377,sms,kaiʹbbjed,V,V_VOQLLJED,4
378,sms,õõlǥted,V,V_AALGXTED,3
379,sms,raukkâd,V,V_AIBBYD,1
381,sms,leiʹnn,N,N_PEIQVV,1
383,sms,terškkad,V,IV_SARNNAD,1
385,sms,tåiddmõš,N,N_SAJOS,1
386,sms,skuʹlljummuš,N,N_MAINSTUMMUSH,2
388,sms,ǩeʹlbbjummuš,N,N_MAINSTUMMUSH,2
389,sms,ââʹntummuš,N,N_MAINSTUMMUSH,2
391,sms,Varjjel,N,PROP_TOP_AANAR,2
393,sms,aʹrddioolâž,N,N_MUORYZH,3
394,sms,kõlbb,N,N_ALGG,1
396,sms,ceessan,N,N_AANAR,2
398,sms,jälstempâjjlõspõrtt,N,N_ALGG,1
400,sms,lävvad,V,V_LEPPAD,1
401,sms,läävvad,V,V_TEEVVAD,1
403,sms,ǩeâškeei,N,N_PRSPRC-EEI,X
405,sms,määŋgstummuš,N,N_MAINSTUMMUSH,2
407,sms,mieʹtti,N,N_LIEQDHDHDHI,2
409,sms,parsakaall,N,N_,X
411,sms,kaammipoous,N,N_POOUS,3
413,sms,ååʹbleǩmätt,N,N_PESS,1
415,sms,sueiʹnnčuõppi,N,N_PRSPRC-VWCCC-I,X
417,sms,čuäʹjtemkriʹlcc,N,N_KRIQLCC,1
419,sms,måkkad suukkâd,V,V_VIIKKYD,1
420,sms,paaǯǯâʹtted,V,V_KAEQTTED,1
421,sms,suukkâd,V,V_VIIKKYD,1
422,sms,suuǥǥted,V,V_AALGXTED,3
424,sms,jiõŋŋeed,V,V_SILTTEED,2
425,sms,puõlšted,V,V_KHIORGGNED,3
427,sms,puõccivuõiddmõš,N,N_SAJOS,1
429,sms,raajjâd,V,V_POOLLYD,1
430,sms,raajted,V,V_KHIORGGNED,3
431,sms,puuʹtʼted,V,V_KHEEQRJTED,3
433,sms,kooʒʒčed,V,V_AALGXTED,3
435,sms,tuäŋkõs,A,A-ATTR_,X
436,sms,tuäŋkai,A,A_SAELTTAI,X
438,sms,takaiteâtt,N,N_VUYRR,1
440,sms,čuässnummuš,N,N_MAINSTUMMUSH,2
442,sms,pääjas,A,A_,X
443,sms,oolâž,N,N_MUORYZH,3
445,sms,koʹrvveemooccmõš,N,N_SAJOS,1
447,sms,saivldummuš,N,N_MAINSTUMMUSH,2
449,sms,škooultuåimjååʹđteei,N,N_PRSPRC-EEI,X
451,sms,cõunnj,N,N_AUTT,1
452,sms,cõõggldõk,N,N_SAJOS,1
453,sms,cõõggâlm,N,N_COOGGYLM,2
454,sms,staan,N,N_PLAAN,X
455,sms,tuärjmâs,N,N_,X
456,sms,tuʹvdd,N,N_JUQVJJ,1
457,sms,tuärjj,N,N_PEAELDD,1
458,sms,cõgldõk,N,N_SAJOS,1
460,sms,vuåkrjed,V,V_KUYDHDHDHJED,4
461,sms,luõikkâd,V,V_VUOIDDYD,1
463,sms,skaʹrri,N,N_PRSPRC-VCC-I,X
465,sms,ǩeʹrjstõõvvâd,V,IV_LAUKKOOLLYD,1
467,sms,jääʹmtummuš,N,N_MAINSTUMMUSH,2
469,sms,aaunâsmuõrr,N,N_MUORR,1
470,sms,kuäʹsttmuõrr,N,N_MUORR,1
472,sms,piʹlǩǩi,A,A_PRSPRC-VXYY-I,X
474,sms,seeičõʹstti,A,A_PRSPRC-VXYY-I,X
476,sms,teädldõk,N,N_SAJOS,1
478,sms,ǥu,CS,CS_,X
479,sms,kuäʹss,Adv,ADV_,X
481,sms,miõleez âʹlnn,Adv,ADV_,X
483,sms,kuâlddjeei,A,A_PRSPRC-EEI,3
484,sms,väcckjeei,A,A_PRSPRC-EEI,3
486,sms,põsslõõččâd,V,V_PIYKKLOOCHCHYD,1
488,sms,ämmatšõddeemhalltõs,N,N_SAJOS,1
490,sms,hõõrummuš,N,N_MAINSTUMMUSH,2
492,sms,šolkksuõnn,N,N_MUORR,1
494,sms,tueʹll,N,N_KUEAQTT,1
496,sms,virksmed,V,V_MAINSTED,3
498,sms,cuõʒʒtõõvvâd,V,IV_LAUKKOOLLYD,1
499,sms,veâlǥeed,V,V_SOLLEED,2
501,sms,juõʹǩǩsââʹjest,Adv,ADV_,X
502,sms,pukveeʹzz,Adv,ADV_,X
503,sms,pukveeʹzzest,Adv,ADV_,X
505,sms,čiʹǯsbeälla,Adv,ADV_,X
507,sms,nauʹllted,V,V_KHEEQRJTED,3
509,sms,udaʹm,A,A_,X
511,sms,palsternäkk,N,N_AKK,1
513,sms,staaneed,V,V_SILTTEED,2
515,sms,pueʹrrtuejjeei,N,N_PRSPRC-EEI,X
517,sms,puäʒʒhåiddameeʹǩǩ,N,N_EEQKHKH,1
519,sms,kõnnjldõõtti,A,A_PRSPRC-VVCC-I,X
521,sms,riâddâd,V,V_RIYDDDYD,1
523,sms,staainiǩčuõppmõš,N,N_SAJOS,1
525,sms,võrrčââlmaž,N,N_KUYLAZH,3
526,sms,võrrčâʹlmm,N,N_KAQLBB,1
528,sms,vääʹlpesvuõtt,N,N_MUORR,1
530,sms,pååđroovõs,N,N_SAJOS,1
532,sms,ǩeʹddpååʹštmiârkk,N,N_MIYRKK,1
534,sms,tääʹrǩes,A,A-ATTR_,X
536,sms,peelǥtummuš,N,N_MAINSTUMMUSH,2
538,sms,čuâr,N,N_CHUYR,1
539,sms,põrttčuâr,N,N_CHUYR,1
541,sms,råånnkuäʹppel,N,N_AANAR,2
542,sms,čueʹpčeskuäʹppel,N,N_AANAR,2
544,sms,teeʹmestiõtt,N,N_RUOCCC,1
546,sms,luumm,N,N_PAARR,1
548,sms,täʹlvvargg,N,N_ALGG,1
550,sms,puâššad,V,V_REAEKKAD,1
551,sms,seäʹdŋŋed,V,IV_CEAQLKHKHED,1
552,sms,seäʹdnnjed,V,V_VOQLLJED,4
553,sms,ââssad,V,V_POAOASSAD,1
555,sms,Vieʹrmmääkkaž,N,PROP_SEM/FEM_KUYLAZH,3
557,sms,porgglummuš,N,N_MAINSTUMMUSH,2
559,sms,tooidčõõttmõš,N,N_SAJOS,1
561,sms,aʹhtti,N,N_PRSPRC-VHYY-I,X
562,sms,koʹddi,N,N_PRSPRC-VCC-I,X
564,sms,uʹrmm,N,N_KUQRCHCH,1
566,sms,čâʹcǩǩed,V,V_CEQPCCED,1
568,sms,mårššad,V,V_SARNNAD,1
570,sms,lõõmmi,N,N_PRSPRC-VVCC-I,X
571,sms,peittlõõtti,N,N_PRSPRC-VVCC-I,X
573,sms,tiârkk,A,A_MIYRKK,1
575,sms,kaʹđstõõllmõš,N,N_SAJOS,1
577,sms,vuõiŋŋâmreäiʹǧǧ,N,N_REAEIQGHGH,1
579,sms,ärvvtõõllâmpodd,N,N_PAPP,1
581,sms,kuddân âânnmõš,N,N_SAJOS,1
583,sms,mäddtäällneeʹǩǩi jeältõkstrooiʹtel,N,N_STROOIQTEL,2
585,sms,ǩeʹddmäʹcclõstt,N,N_ALGG,1
587,sms,tuõddâräʹllbaž,N,N_MEERSAZH,1
589,sms,sääʹmveârlaž,A,A_MEERSAZH,1
591,sms,zooltâʹtted,V,V_KAEQTTED,1
593,sms,huõl ââʹnškueʹtted,V,V_SHKUEAQTTED,1
594,sms,peʹcclõõvvâd,V,IV_LAUKKOOLLYD,1
596,sms,njiâccad,V,V_REAEKKAD,1
597,sms,lahttâd,V,V_OHTTYD,1
598,sms,njuõckâd,V,V_PLIYSNYD,1
599,sms,kässned,V,V_SHORRNED,3
600,sms,njeeblted,V,V_SHORRNED,3
602,sms,kuälmeešt,Adv,ADV_,X
604,sms,šuʹtǩǩõõttâd,V,V_LAUKKOOLLYD,1
605,sms,mušttled,V,TV_KHIORGGNED,3
606,sms,mainsted,V,V_MAINSTED,3
607,sms,peäggted,V,V_SHORRNED,3
609,sms,vâʹllj,A,A_,X
611,sms,njeʹʒstõõttâd,V,V_LAUKKOOLLYD,1
612,sms,reuʹddõõttâd,V,V_LAUKKOOLLYD,1
614,sms,karavaan,N,N_PLAAN,X
616,sms,rajjõs,N,N_SAJOS,1
618,sms,vuästtõõttâd,V,V_LAUKKOOLLYD,1
620,sms,domm-mašina,N,N_BUKVA,3
622,sms,kaʹjjeei,N,N_PRSPRC-EEI,X
624,sms,ǩeälkaž,N,N_PRE-PEESSAZH,3
626,sms,väʹʒʒemčuâǥǥas,N,N_JUYGXGXAS,2
628,sms,jõlstõõlli,N,N_PRSPRC-VVCC-I,X
630,sms,võrršõõvvâd,V,IV_LAUKKOOLLYD,1
632,sms,äimmkoškkummuš,N,N_MAINSTUMMUSH,2
634,sms,meer,N,N_MEER,1
635,sms,sååbbarmeer,N,N_MEER,1
637,sms,piiltâǩ,N,N_AACCIKH,2
639,sms,jeʹmmlaž,N,N_MEERSAZH,1
640,sms,rozboineǩ,N,N_KAADHNEKH,1
642,sms,varjjleei,N,N_PRSPRC-EEI,X
644,sms,jaškkeed,V,V_SILTTEED,2
646,sms,hiâlummuš,N,N_MAINSTUMMUSH,2
648,sms,sieʹm,N,N_SIEQM,2
649,sms,lueʹmsieʹm,N,N_,X
650,sms,oʹrre,N,N_,X
651,sms,ǩeäʹdǧǧ,N,N_JEAQRMM,1
652,sms,pliitǩeäʹdǧǧ,N,N_JEAQRMM,1
654,sms,njââlteei,A,A_PRSPRC-EEI,3
656,sms,puärsmed,V,V_SHORRNED,3
658,sms,marun,N,N_,X
660,sms,tuâjjviõkkvuäʹpsteei,N,N_PRSPRC-EEI,X
662,sms,reäkkõõvvâd,V,IV_LAUKKOOLLYD,1
664,sms,tääʹssteädd,N,N_NEAVVV,1
666,sms,äinnad,V,V_LAEULLAD,1
667,sms,aiccâd,V,V_AIBBYD,1
668,sms,aibbâd,V,V_AIBBYD,1
670,sms,veiggummuš,N,N_MAINSTUMMUSH,2
672,sms,paarrdõõtti,A,A_PRSPRC-VVCC-I,X
673,sms,kõrrneei,A,A_PRSPRC-EEI,3
674,sms,pâjjneei,A,A_PRSPRC-EEI,3
676,sms,kõskkuum,A,A_PSS-PRFPRC,X
